"Institution","City","State","ZIP","Highest_Degree","Region","Longitude","Latitude","Type","HBCU","HSI","Religious","Adm_Rate","Med_ACT","Enrollment","P_White","P_Black","P_Hispanic","P_Asian","P_Female","P_Pell","Med_Grad_Debt","Avg_Fac_Salary","Ret_Rate","Med_Grad_Earnings_4Y"
"University of Rhode Island","Kingston","RI","02881","Graduate","New_England",-71.527356,41.484691,"Public","No","No","Yes",0.7639,27,13828,0.7426,0.0484,0.1091,0.0328,0.573,0.2336,"22250",10718,0.8476,57354
"Rhode Island School of Design","Providence","RI","02903-2784","Graduate","New_England",-71.407692,41.825935,"Private_non_profit","No","No","Yes",0.1742,31,2108,0.2272,0.0436,0.084,0.2263,0.6722,0.1507,"27000",10648,0.9536,49748
"Roger Williams University","Bristol","RI","02809-2921","Graduate","New_England",-71.260374,41.650214,"Private_non_profit","No","No","Yes",0.9099,28,3971,0.7446,0.0312,0.0972,0.0184,0.5009,0.1185,"26940",12610,0.7718,58832
"Salve Regina University","Newport","RI","02840-4192","Graduate","New_England",-71.30124,41.471545,"Private_non_profit","No","No","No",0.6953,26,2174,0.7981,0.0152,0.0906,0.0129,0.6891,0.1678,"27000",9027,0.8238,59344
"Charleston Southern University","Charleston","SC","29406-9121","Graduate","Southeast",-80.072587,32.983047,"Private_non_profit","No","No","No",0.8675,21,2771,0.4857,0.1617,0.0585,0.0119,0.637,0.3556,"26471",6200,0.7036,43663
"Southern Wesleyan University","Central","SC","29630-1020","Graduate","Southeast",-82.761586,34.728068,"Private_non_profit","No","No","No",0.5118,21,798,0.6654,0.1692,0.0627,0.005,0.6303,0.4591,"26000",5111,0.6667,41223
"College of Charleston","Charleston","SC","29424-0001","Graduate","Southeast",-79.939794,32.784225,"Public","No","No","Yes",0.7569,27,9667,0.7892,0.0561,0.0716,0.0194,0.6723,0.2105,"23250",9491,0.7989,45986
"Citadel Military College of South Carolina","Charleston","SC","29409","Graduate","Southeast",-79.958775,32.797183,"Public","No","No","Yes",0.9858,24,2658,0.754,0.0726,0.0771,0.0203,0.1437,0.198,"21096",9394,0.8425,64866
"Clemson University","Clemson","SC","29634","Graduate","Southeast",-82.835114,34.679381,"Public","No","No","Yes",0.4298,30,22467,0.7712,0.0541,0.0788,0.0295,0.5252,0.1468,"21500",11217,0.9239,61914
"Columbia International University","Columbia","SC","29203-1513","Graduate","Southeast",-81.07443,34.07551,"Private_non_profit","No","No","Yes",0.4822,20,775,0.5974,0.209,0.0206,0.0168,0.4942,0.3903,"20000",5052,0.6606,32819
"Columbia College","Columbia","SC","29203","Graduate","Southeast",-81.029967,34.045581,"Private_non_profit","No","No","No",0.9812,16,1136,0.3926,0.3829,0.1039,0.0176,0.8354,0.5435,"22750",6721,0.555,38534
"Converse University","Spartanburg","SC","29302-0006","Graduate","Southeast",-81.917881,34.955534,"Private_non_profit","No","No","Yes",0.5557,23,804,0.5274,0.1381,0.1144,0.0336,0.7898,0.4185,"27000",6386,0.739,36775
"Erskine College","Due West","SC","29639","Graduate","Southeast",-82.39095,34.332087,"Private_non_profit","No","No","No",0.5325,21,817,0.5092,0.246,0.0673,0.0147,0.339,0.4205,"27000",5263,0.6348,41123
"Francis Marion University","Florence","SC","29506","Graduate","Southeast",-79.652854,34.189777,"Public","No","No","Yes",0.8291,18,2684,0.4747,0.3931,0.0421,0.0127,0.649,0.5424,"27000",7866,0.6456,40884
"Furman University","Greenville","SC","29613-6162","Graduate","Southeast",-82.440458,34.924676,"Private_non_profit","No","No","Yes",0.6702,30,2278,0.7656,0.0588,0.0601,0.0364,0.5865,0.111,"23250",10080,0.8775,51831
"Lander University","Greenwood","SC","29649-2099","Graduate","Southeast",-82.164736,34.199892,"Public","No","No","Yes",0.674,21,3360,0.6473,0.2387,0.0205,0.0033,0.6777,0.3927,"25000",5268,0.6637,40417
"Newberry College","Newberry","SC","29108","Bachelors","Southeast",-81.619777,34.285868,"Private_non_profit","No","No","No",0.7531,18,1292,0.4094,0.305,0.0488,0.0046,0.4489,0.4943,"26805",6646,0.689,42443
"Presbyterian College","Clinton","SC","29325","Graduate","Southeast",-81.87448,34.465834,"Private_non_profit","No","No","No",0.5939,23,877,0.6431,0.1961,0.0604,0.0091,0.4983,0.3031,"26000",8398,0.6837,45881
"University of South Carolina Aiken","Aiken","SC","29801","Graduate","Southeast",-81.767612,33.572704,"Public","No","No","Yes",0.7562,21,2817,0.6092,0.2229,0.0738,0.0138,0.6315,0.4131,"24275",7625,0.6031,44449
"University of South Carolina-Columbia","Columbia","SC","29208","Graduate","Southeast",-81.026935,33.996788,"Public","No","No","Yes",0.6405,29,26840,0.7354,0.0904,0.0579,0.0426,0.5639,0.195,"21500",11492,0.8962,52987
"Coastal Carolina University","Conway","SC","29526","Graduate","Southeast",-79.011767,33.794995,"Public","No","No","Yes",0.7863,22,9495,0.7038,0.1425,0.062,0.0098,0.5514,0.3103,"23750",8397,0.7057,43270
"University of South Carolina-Upstate","Spartanburg","SC","29303-4999","Graduate","Southeast",-81.970583,34.996403,"Public","No","No","Yes",0.7858,23,4046,0.4614,0.3391,0.0863,0.0316,0.6666,0.5033,"22310",7736,0.6396,46524
"Winthrop University","Rock Hill","SC","29733","Graduate","Southeast",-81.031404,34.941515,"Public","No","No","Yes",0.6976,22,3376,0.5136,0.3252,0.0735,0.0195,0.6635,0.4305,"26975",8179,0.6695,41206
"Wofford College","Spartanburg","SC","29303-3663","Bachelors","Southeast",-81.933568,34.959411,"Private_non_profit","No","No","No",0.6018,28,1823,0.7992,0.0664,0.0565,0.0214,0.5228,0.154,"25732",8860,0.8862,57516
"Augustana University","Sioux Falls","SD","57197-0001","Graduate","West_North_Central",-96.736975,43.525148,"Private_non_profit","No","No","No",0.6579,24,1759,0.7777,0.0301,0.0443,0.0205,0.6219,0.1883,"25000",7181,0.8197,48550
"Black Hills State University","Spearfish","SD","57799-9500","Graduate","West_North_Central",-103.870966,44.494889,"Public","No","No","Yes",0.9664,21,1933,0.8903,0.0057,0.0326,0.0036,0.6736,0.331,"26000",7606,0.7112,40421
"Dakota State University","Madison","SD","57042-1799","Graduate","West_North_Central",-97.113358,44.013014,"Public","No","No","Yes",0.7891,23,1894,0.7814,0.0391,0.0544,0.0253,0.2978,0.2576,"23500",9020,0.7449,49418
"Dakota Wesleyan University","Mitchell","SD","57301-4398","Graduate","West_North_Central",-98.031188,43.697432,"Private_non_profit","No","No","No",0.7477,20,632,0.7911,0.0111,0.0807,0.0127,0.5032,0.3275,"27000",6370,0.6886,52013
"Mount Marty University","Yankton","SD","57078-3724","Graduate","West_North_Central",-97.409904,42.874475,"Private_non_profit","No","No","No",0.6839,20,693,0.71,0.0693,0.0592,0.0058,0.4805,0.2857,"26396",7238,0.7069,46925
"Northern State University","Aberdeen","SD","57401-7198","Graduate","West_North_Central",-98.484728,45.450829,"Public","No","No","Yes",0.7814,21,1258,0.8021,0.0374,0.0501,0.027,0.5819,0.2842,"22320",8004,0.7361,46193
"Presentation College","Aberdeen","SD","57401-1280","Graduate","West_North_Central",-98.49129,45.483339,"Private_non_profit","No","No","No",0.7558,20,586,0.6382,0.1024,0.0973,0.0188,0.6177,0.3796,"25000",5490,0.5072,58947
"South Dakota School of Mines and Technology","Rapid City","SD","57701-3995","Graduate","West_North_Central",-103.205753,44.075439,"Public","No","No","Yes",0.8269,26,2047,0.8344,0.0112,0.0542,0.0151,0.2267,0.1715,"27000",10240,0.8282,76578
"South Dakota State University","Brookings","SD","57007-1898","Graduate","West_North_Central",-96.782139,44.317485,"Public","No","No","Yes",0.8608,22,8627,0.8636,0.0174,0.0282,0.0122,0.5392,0.2053,"23250",9342,0.7884,52135
"University of South Dakota","Vermillion","SD","57069-2390","Graduate","West_North_Central",-96.925283,42.786019,"Public","No","No","Yes",0.9946,22,5265,0.8135,0.0359,0.0526,0.0116,0.642,0.2532,"23592",8799,0.8176,52549
"Austin Peay State University","Clarksville","TN","37044","Graduate","Southeast",-87.354081,36.533319,"Public","No","No","Yes",0.9382,21,7054,0.5303,0.2162,0.1097,0.0232,0.5904,0.5056,"20547",8482,0.6552,42317
"Baptist Health Sciences University","Memphis","TN","38104","Graduate","Southeast",-90.027501,35.138415,"Private_non_profit","No","No","No",0.4093,22,777,0.4208,0.4402,0.0502,0.0245,0.9138,0.5586,"29500",7182,0.6349,61999
"Belmont University","Nashville","TN","37212-3757","Graduate","Southeast",-86.794807,36.135589,"Private_non_profit","No","No","No",0.9627,27,7349,0.7729,0.0493,0.084,0.0286,0.6643,0.1682,"20500",9832,0.8402,46149
"Bethel University","McKenzie","TN","38201","Graduate","Southeast",-88.516762,36.137848,"Private_non_profit","No","No","No",0.8879,19,2906,0.5348,0.3118,0.031,0.0024,0.4745,0.4949,"27249",3425,0.5573,47664
"Carson-Newman University","Jefferson City","TN","37760","Graduate","Southeast",-83.491709,36.122934,"Private_non_profit","No","No","No",0.7978,22,1426,0.7328,0.094,0.054,0.0105,0.561,0.421,"21500",6325,0.6751,42404
"Christian Brothers University","Memphis","TN","38104","Graduate","Southeast",-89.983241,35.127437,"Private_non_profit","No","No","No",0.8746,23,1032,0.2752,0.1899,0.1085,0.0329,0.5475,0.3822,"27000",7663,0.7122,55553
"Lipscomb University","Nashville","TN","37204-3951","Graduate","Southeast",-86.799791,36.106253,"Private_non_profit","No","No","No",0.7112,27,2950,0.7085,0.0702,0.1007,0.041,0.6095,0.2261,"19500",8567,0.8407,53004
"East Tennessee State University","Johnson City","TN","37614","Graduate","Southeast",-82.366954,36.301643,"Public","No","No","Yes",0.8526,22,9772,0.7456,0.0669,0.0393,0.018,0.611,0.4008,"19442",7966,0.7189,42827
"Fisk University","Nashville","TN","37208-4501","Graduate","Southeast",-86.804805,36.167087,"Private_non_profit","Yes","No","Yes",0.7097,22,1009,0.003,0.7294,0.0188,0.002,0.671,0.5274,"27000",5635,0.7924,42384
"Freed-Hardeman University","Henderson","TN","38340-2399","Graduate","Southeast",-88.637964,35.440611,"Private_non_profit","No","No","No",0.9119,23,1384,0.875,0.0347,0.0014,0.0101,0.5484,0.3032,"21500",7279,0.9241,40959
"Johnson University","Knoxville","TN","37998","Graduate","Southeast",-83.750273,35.937193,"Private_non_profit","No","No","No",0.6321,21,668,0.8308,0.0434,0.0329,0.0045,0.5314,0.4323,"21500",5947,0.766,36444
"Lee University","Cleveland","TN","37311","Graduate","Southeast",-84.871399,35.166019,"Private_non_profit","No","No","No",0.7259,24,2932,0.8233,0.0426,0.016,0.0143,0.6139,0.3467,"25750",7540,0.7942,39880
"Lincoln Memorial University","Harrogate","TN","37752-8231","Graduate","Southeast",-83.660198,36.578508,"Private_non_profit","No","No","Yes",0.7848,20,1461,0.77,0.0575,0.0534,0.0253,0.7064,0.4216,"20000",7220,0.7743,48770
"The University of Tennessee Southern","Pulaski","TN","38478-2799","Graduate","Southeast",-87.035661,35.201019,"Public","No","No","Yes",0.8026,21,787,0.7535,0.0597,0.0496,0.0076,0.5858,0.444,"21500",6156,0.6636,42113
"Maryville College","Maryville","TN","37804-5907","Bachelors","Southeast",-83.964223,35.751505,"Private_non_profit","No","No","No",0.695,23,977,0.7236,0.0993,0.0512,0.0092,0.5425,0.3959,"25375",6617,0.6642,39784
"University of Memphis","Memphis","TN","38152","Graduate","Southeast",-89.938068,35.118878,"Public","No","No","Yes",0.946,21,14181,0.4019,0.3884,0.0958,0.0453,0.6064,0.477,"23300",9139,0.7471,46400
"Middle Tennessee State University","Murfreesboro","TN","37132","Graduate","Southeast",-86.360618,35.848005,"Public","No","No","Yes",0.7254,22,16239,0.6465,0.1514,0.0861,0.0416,0.5276,0.3566,"20000",8980,0.7606,44365
"Rhodes College","Memphis","TN","38112-1690","Graduate","Southeast",-89.990803,35.154405,"Private_non_profit","No","No","No",0.5391,30,1966,0.6368,0.0982,0.06,0.0717,0.5844,0.1383,"21761",9079,0.9088,57428
"The University of the South","Sewanee","TN","37383-1000","Graduate","Southeast",-85.920179,35.204719,"Private_non_profit","No","No","No",0.5232,30,1599,0.8061,0.0425,0.06,0.0106,0.5278,0.1507,"22855",9416,0.8882,48014
"Southern Adventist University","Collegedale","TN","37315-0370","Graduate","Southeast",-85.052088,35.048254,"Private_non_profit","No","Yes","No",0.6578,22,2439,0.3944,0.0603,0.2698,0.1312,0.5437,0.3385,"24500",6056,0.8487,51279
"Tennessee Wesleyan University","Athens","TN","37303","Graduate","Southeast",-84.592728,35.446331,"Private_non_profit","No","No","No",0.6074,21,906,0.7395,0.0684,0.0486,0.011,0.6159,0.4274,"20000",5471,0.7527,46577
"The University of Tennessee-Chattanooga","Chattanooga","TN","37403-2598","Graduate","Southeast",-85.300247,35.047519,"Public","No","No","Yes",0.8265,23,9820,0.7471,0.0968,0.0627,0.0294,0.5785,0.3336,"19500",9246,0.7253,45945
"The University of Tennessee-Knoxville","Knoxville","TN","37996","Graduate","Southeast",-83.925852,35.952082,"Public","No","No","Yes",0.6841,28,26905,0.7899,0.0452,0.0591,0.0371,0.544,0.2245,"20500",12033,0.8859,52475
"The University of Tennessee-Martin","Martin","TN","38238","Graduate","Southeast",-88.864211,36.340338,"Public","No","No","Yes",0.8844,22,4629,0.7775,0.1313,0.0408,0.0078,0.617,0.4634,"21024",7910,0.7111,40842
"Tennessee Technological University","Cookeville","TN","38505-0001","Graduate","Southeast",-85.504039,36.174754,"Public","No","No","Yes",0.781,24,8341,0.8109,0.045,0.0505,0.0207,0.4561,0.3234,"15650",8773,0.7846,44893
"Trevecca Nazarene University","Nashville","TN","37210","Graduate","Southeast",-86.754238,36.141324,"Private_non_profit","No","No","No",0.7087,21,1738,0.561,0.1024,0.1323,0.0207,0.6203,0.3517,"18744",7067,0.7412,44383
"Tusculum University","Greeneville","TN","37743","Graduate","Southeast",-82.760818,36.172435,"Private_non_profit","No","No","No",0.8108,20,981,0.3486,0.0601,0.0296,0.002,0.4883,0.5433,"23250",4978,0.5528,41573
"Union University","Jackson","TN","38305-3697","Graduate","Southeast",-88.858524,35.676896,"Private_non_profit","No","No","No",0.5255,27,1731,0.6736,0.1369,0.0092,0.0191,0.6326,0.2822,"20714",7919,0.8444,47948
"Vanderbilt University","Nashville","TN","37240","Graduate","Southeast",-86.803369,36.14659,"Private_non_profit","No","No","Yes",0.0667,35,7144,0.4061,0.104,0.1102,0.175,0.5183,0.1664,"14000",14933,0.9643,78257
"Abilene Christian University","Abilene","TX","79699","Graduate","Southwest",-99.709797,32.468943,"Private_non_profit","No","No","No",0.6579,24,3141,0.6361,0.0675,0.1796,0.0194,0.6183,0.2361,"24250",8507,0.7851,51579
"Angelo State University","San Angelo","TX","76909","Graduate","Southwest",-100.465051,31.440914,"Public","No","Yes","Yes",0.7914,20,5314,0.4462,0.0619,0.4149,0.0117,0.5725,0.4671,"20000",7705,0.7324,47902
"Austin College","Sherman","TX","75090-4400","Graduate","Southwest",-96.596331,33.646345,"Private_non_profit","No","Yes","No",0.5437,26,1166,0.4889,0.0712,0.2607,0.1201,0.5034,0.3113,"24500",7984,0.8445,47167
"Baylor University","Waco","TX","76798","Graduate","Southwest",-97.121041,31.546872,"Private_non_profit","No","No","No",0.4588,30,15134,0.611,0.0484,0.1598,0.0875,0.5954,0.1427,"23000",11033,0.9041,57576
"Texas A & M University-Corpus Christi","Corpus Christi","TX","78412-5503","Graduate","Southwest",-97.32395,27.713723,"Public","No","Yes","Yes",0.8797,21,7818,0.3498,0.0359,0.5168,0.0274,0.6048,0.3918,"23000",8938,0.6285,49525
"Dallas Baptist University","Dallas","TX","75211-9299","Graduate","Southwest",-96.947006,32.710017,"Private_non_profit","No","No","No",0.9137,22,2674,0.5445,0.1025,0.1597,0.0221,0.5856,0.283,"21591",8266,0.6215,49390
"University of Dallas","Irving","TX","75062-4736","Graduate","Southwest",-96.919512,32.846221,"Private_non_profit","No","Yes","No",0.587,27,1446,0.5864,0.0249,0.2656,0.0685,0.5574,0.2849,"23117",8805,0.7731,53274
"Texas A&M University-Texarkana","Texarkana","TX","75503","Graduate","Southwest",-94.103617,33.490482,"Public","No","No","Yes",0.9148,18,1758,0.5006,0.1797,0.1837,0.0142,0.6115,0.5142,"18953",8311,0.6267,41242
"Texas A & M University-Commerce","Commerce","TX","75429-3011","Graduate","Southwest",-95.904579,33.242112,"Public","No","Yes","Yes",0.8645,20,7317,0.4159,0.185,0.2491,0.0227,0.6012,0.4038,"20500",8445,0.6503,48070
"Hardin-Simmons University","Abilene","TX","79698-0001","Graduate","Southwest",-99.73564,32.476434,"Private_non_profit","No","Yes","No",0.8825,21,1323,0.542,0.1141,0.2577,0.0121,0.5208,0.3925,"24711",7586,0.6392,47713
"Houston Baptist University","Houston","TX","77074-3298","Graduate","Southwest",-95.515954,29.693819,"Private_non_profit","No","Yes","No",0.8448,24,2814,0.1912,0.2431,0.3895,0.0707,0.6304,0.5231,"22642",8512,0.6913,53856
"University of Houston-Clear Lake","Houston","TX","77058-1002","Graduate","Southwest",-95.098129,29.582523,"Public","No","Yes","Yes",0.6937,21,6343,0.3164,0.0653,0.4774,0.072,0.6297,0.4395,"17831",9733,0.6654,53757
"University of Houston-Downtown","Houston","TX","77002-1014","Graduate","Southwest",-95.359338,29.7661,"Public","No","Yes","Yes",0.8842,19,12752,0.1136,0.175,0.5756,0.084,0.629,0.4997,"18750",9127,0.6514,53471
"University of Houston","Houston","TX","77204-2018","Graduate","Southwest",-95.343537,29.720393,"Public","No","Yes","Yes",0.6624,26,37080,0.1845,0.1112,0.3718,0.2399,0.5188,0.4216,"18194",12870,0.8453,55929
"Howard Payne University","Brownwood","TX","76801-2794","Graduate","Southwest",-98.985204,31.716467,"Private_non_profit","No","Yes","No",0.6229,21,721,0.5118,0.1068,0.2788,0.0055,0.4577,0.4468,"26793",6125,0.5463,41229
"University of the Incarnate Word","San Antonio","TX","78209","Graduate","Southwest",-98.46583,29.46708,"Private_non_profit","No","Yes","No",0.942,19,4547,0.159,0.071,0.6459,0.0246,0.6435,0.4361,"27000",8777,0.6999,52319
"Lamar University","Beaumont","TX","77705","Graduate","Southwest",-94.072244,30.042738,"Public","No","No","Yes",0.8373,16,8075,0.3934,0.2836,0.2284,0.0552,0.5918,0.4613,"21250",8560,0.5937,53204
"Texas A & M International University","Laredo","TX","78041-1900","Graduate","Southwest",-99.436043,27.571172,"Public","No","Yes","Yes",0.4788,18,6459,0.0203,0.0048,0.9192,0.0033,0.621,0.6842,"15000",8601,0.7909,43809
"LeTourneau University","Longview","TX","75602","Graduate","Southwest",-94.726394,32.46632,"Private_non_profit","No","No","No",0.4883,25,1553,0.6974,0.0528,0.0541,0.0212,0.3786,0.3044,"26000",7035,0.7707,59583
"Lubbock Christian University","Lubbock","TX","79407-2099","Graduate","Southwest",-101.934426,33.575973,"Private_non_profit","No","No","No",0.8159,21,1221,0.6339,0.0508,0.2318,0.0123,0.629,0.3451,"20948",6421,0.7143,47209
"University of Mary Hardin-Baylor","Belton","TX","76513-2599","Graduate","Southwest",-97.463471,31.066793,"Private_non_profit","No","Yes","No",0.9567,22,3013,0.533,0.1394,0.2532,0.0166,0.6462,0.3976,"26000",8113,0.6446,51860
"McMurry University","Abilene","TX","79697","Graduate","Southwest",-99.748682,32.429776,"Private_non_profit","No","Yes","No",0.565,22,1092,0.4423,0.1474,0.3471,0.0119,0.4707,0.5417,"27000",7050,0.6433,44003
"University of North Texas","Denton","TX","76203-1277","Graduate","Southwest",-97.148422,33.211178,"Public","No","Yes","Yes",0.7913,23,33023,0.383,0.1512,0.2831,0.0793,0.5419,0.3535,"19250",10682,0.8023,51178
"The University of Texas Rio Grande Valley","Edinburg","TX","78539-2999","Graduate","Southwest",-98.173567,26.306759,"Public","No","Yes","Yes",0.877,19,26420,0.0206,0.0041,0.9373,0.0102,0.5927,0.6223,"12950",8763,0.7616,46217
"Prairie View A & M University","Prairie View","TX","77446","Graduate","Southwest",-95.989475,30.092425,"Public","Yes","No","Yes",0.7607,18,8103,0.0123,0.853,0.0813,0.008,0.6775,0.6593,"27000",8608,0.7326,50616
"Rice University","Houston","TX","77005-1827","Graduate","Southwest",-95.402035,29.717897,"Private_non_profit","No","No","Yes",0.0868,35,4480,0.2819,0.0792,0.1547,0.2946,0.4886,0.1665,"11000",17599,0.981,74727
"Saint Edward's University","Austin","TX","78704-6489","Graduate","Southwest",-97.754998,30.229618,"Private_non_profit","No","Yes","No",0.851,25,2751,0.3217,0.0353,0.5162,0.0254,0.619,0.3983,"24803",9121,0.8062,49672
"University of St Thomas","Houston","TX","77006-4696","Graduate","Southwest",-95.393102,29.736438,"Private_non_profit","No","Yes","No",0.9671,25,2524,0.1997,0.0741,0.5012,0.109,0.5927,0.3692,"19928",8006,0.711,55196
"Sam Houston State University","Huntsville","TX","77340","Graduate","Southwest",-95.546205,30.714738,"Public","No","Yes","Yes",0.8463,21,18184,0.4729,0.1642,0.2701,0.0219,0.6347,0.3985,"21983",8039,0.7389,49435
"Southern Methodist University","Dallas","TX","75275-0221","Graduate","Southwest",-96.783365,32.843612,"Private_non_profit","No","No","No",0.5225,32,7044,0.6062,0.0495,0.1454,0.0832,0.5065,0.116,"19500",13831,0.9024,76708
"Southwestern Assemblies of God University","Waxahachie","TX","75165","Graduate","Southwest",-96.853492,32.40443,"Private_non_profit","No","Yes","No",0.8565,19,1435,0.5066,0.1408,0.2523,0.0118,0.5031,0.5466,"24725",6022,0.7664,39096
"Southwestern University","Georgetown","TX","78626","Bachelors","Southwest",-97.665738,30.634341,"Private_non_profit","No","Yes","No",0.4479,28,1480,0.5601,0.0554,0.2682,0.0405,0.5372,0.2473,"25000",8540,0.7938,47554
"Stephen F Austin State University","Nacogdoches","TX","75961","Graduate","Southwest",-94.64908,31.621056,"Public","No","No","Yes",0.8951,21,8961,0.5817,0.1241,0.213,0.0119,0.634,0.4144,"23409",7882,0.7316,46897
"Texas State University","San Marcos","TX","78666","Graduate","Southwest",-97.943029,29.888885,"Public","No","Yes","Yes",0.877,23,33834,0.4016,0.0934,0.4205,0.0257,0.5985,0.363,"21000",8567,0.8007,51154
"Southwestern Adventist University","Keene","TX","76059","Graduate","Southwest",-97.32702,32.397617,"Private_non_profit","No","Yes","No",0.5362,19,659,0.1927,0.1093,0.4082,0.0516,0.5888,0.5123,"26998",6220,0.7923,53344
"Sul Ross State University","Alpine","TX","79832","Graduate","Southwest",-103.651469,30.363139,"Public","No","Yes","Yes",0.9707,18,1495,0.1967,0.0669,0.703,0.0033,0.5786,0.5552,"15900",7353,0.4896,36181
"Tarleton State University","Stephenville","TX","76401-0000","Graduate","Southwest",-98.219039,32.217805,"Public","No","No","Yes",0.8706,21,11880,0.6342,0.0647,0.2308,0.0098,0.6322,0.381,"19606",8005,0.7046,49110
"Texas A & M University-College Station","College Station","TX","77843-1246","Graduate","Southwest",-96.336475,30.618726,"Public","No","Yes","Yes",0.6265,28,56792,0.5563,0.0229,0.2539,0.1135,0.4699,0.1995,"17804",13385,0.9455,63641
"The University of Texas at Arlington","Arlington","TX","76013","Graduate","Southwest",-97.11296,32.729718,"Public","No","Yes","Yes",0.808,22,30503,0.2497,0.1504,0.3768,0.1405,0.6018,0.3714,"17527",10715,0.7411,63227
"The University of Texas at Austin","Austin","TX","78705","Graduate","Southwest",-97.738273,30.282825,"Public","No","Yes","Yes",0.3135,30,40980,0.3318,0.0451,0.2802,0.244,0.5743,0.2467,"20500",14867,0.953,64007
"The University of Texas at Dallas","Richardson","TX","75080-3021","Graduate","Southwest",-96.749702,32.984673,"Public","No","No","Yes",0.8474,28,21586,0.2427,0.0549,0.1783,0.4138,0.4357,0.3155,"18000",13909,0.8727,61395
"The University of Texas at El Paso","El Paso","TX","79968-0691","Graduate","Southwest",-106.504098,31.77015,"Public","No","Yes","Yes",0.9992,19,20123,0.0407,0.018,0.8782,0.0059,0.5517,0.5856,"18000",9473,0.753,49538
"The University of Texas at Tyler","Tyler","TX","75799-6699","Graduate","Southwest",-95.254337,32.315772,"Public","No","No","Yes",0.9387,22,6568,0.5161,0.1076,0.2602,0.0467,0.6194,0.3717,"17137",9503,0.6074,54556
"Texas Christian University","Fort Worth","TX","76129","Graduate","Southwest",-97.364758,32.70961,"Private_non_profit","No","No","No",0.561,29,10510,0.6551,0.0429,0.1695,0.0226,0.6168,0.1232,"21500",13004,0.9174,61421
"Texas Lutheran University","Seguin","TX","78155-5999","Graduate","Southwest",-97.982669,29.573261,"Private_non_profit","No","Yes","No",0.9183,23,1307,0.4124,0.0972,0.4246,0.0099,0.5195,0.3574,"25000",7697,0.6387,47563
"The University of Texas Permian Basin","Odessa","TX","79762-0001","Graduate","Southwest",-102.329634,31.889509,"Public","No","Yes","Yes",0.9471,19,4060,0.2687,0.0751,0.5387,0.016,0.6128,0.3604,"17750",8466,0.6623,52195
"The University of Texas at San Antonio","San Antonio","TX","78249-1644","Graduate","Southwest",-98.620657,29.583709,"Public","No","Yes","Yes",0.869,22,29112,0.1957,0.0814,0.6076,0.0566,0.5224,0.4374,"20500",9842,0.804,51375
"Texas Southern University","Houston","TX","77004","Graduate","Southwest",-95.361113,29.721046,"Public","Yes","No","Yes",0.968,17,6830,0.007,0.8449,0.0807,0.0085,0.6511,0.6954,"29000",8141,0.5495,44833
"Texas Tech University","Lubbock","TX","79409-5005","Graduate","Southwest",-101.874783,33.583448,"Public","No","Yes","Yes",0.6734,25,32346,0.5454,0.0599,0.2905,0.0315,0.4917,0.2581,"21500",11038,0.8571,55135
"Texas Wesleyan University","Fort Worth","TX","76105-1536","Graduate","Southwest",-97.279613,32.732962,"Private_non_profit","No","Yes","No",0.6093,18,1549,0.2234,0.2195,0.3635,0.0148,0.5287,0.5179,"23125",8388,0.5552,46426
"Texas Woman's University","Denton","TX","76204","Graduate","Southwest",-97.127842,33.226211,"Public","No","Yes","Yes",0.9363,20,8876,0.2899,0.1867,0.3614,0.0943,0.9158,0.432,"19218",8979,0.7327,53815
"Trinity University","San Antonio","TX","78212-7200","Graduate","Southwest",-98.48186,29.462682,"Private_non_profit","No","No","No",0.3051,31,2491,0.5375,0.0409,0.2413,0.0767,0.5335,0.1602,"22954",11172,0.9109,60366
"West Texas A & M University","Canyon","TX","79016-0001","Graduate","Southwest",-101.914736,34.982789,"Public","No","Yes","Yes",0.9163,20,6828,0.5218,0.0448,0.3377,0.0176,0.5904,0.4678,"19500",8214,0.6809,47220
"Brigham Young University","Provo","UT","84602","Graduate","Mountain",-111.649281,40.250851,"Private_non_profit","No","No","No",0.6667,30,31411,0.8081,0.0042,0.0793,0.0177,0.5198,0.3239,"11069",12747,0.8977,64207
"Brigham Young University-Hawaii","Laie","HI","96762-1294","Bachelors","Pacific",-157.926586,21.642074,"Private_non_profit","No","No","No",0.3421,22,2716,0.2548,0.0033,0.0534,0.0361,0.595,0.1566,"9413",10078,0.5266,40453
"Utah State University","Logan","UT","84322-1400","Graduate","Mountain",-111.81391,41.740748,"Public","No","No","Yes",0.9373,24,20573,0.8264,0.0074,0.0636,0.0086,0.5478,0.3221,"14340",10168,0.7448,50505
"University of Utah","Salt Lake City","UT","84112-9008","Graduate","Mountain",-111.846044,40.762484,"Public","No","No","Yes",0.8913,25,25392,0.6329,0.0144,0.1407,0.0785,0.4823,0.2232,"19000",11802,0.8457,60025
"Westminster College","Salt Lake City","UT","84105","Graduate","Mountain",-111.855757,40.730779,"Private_non_profit","No","No","Yes",0.6975,26,955,0.6963,0.0157,0.1277,0.0251,0.6063,0.2604,"22250",8552,0.7515,55883
"Bennington College","Bennington","VT","05201-6003","Graduate","New_England",-73.237799,42.919547,"Private_non_profit","No","No","Yes",0.4531,30,733,0.6276,0.0286,0.1023,0.0082,0.6712,0.2259,"26000",9819,0.8382,28576
