Chamber,State,District,Name,Age,Birthdate,Party
Senate,FL,,Rick Scott,70,12/1/1952,R
Senate,TX,,John Cornyn,70,2/2/1952,R
Senate,WY,,John Barrasso,70,7/21/1952,R
Senate,ME,,Susan Collins,70,12/7/1952,R
Senate,OH,,Sherrod Brown,70,11/9/1952,D
Senate,TN,,Marsha Blackburn,70,6/6/1952,R
Senate,WV,,Shelley Moore Capito,69,11/26/1953,R
Senate,NJ,,Bob Menendez,69,1/1/1954,D
Senate,VA,,Mark Warner,68,12/15/1954,D
Senate,AL,,Tommy Tuberville,68,9/18/1954,R
Senate,KS,,Jerry Moran,68,5/29/1954,R
Senate,IN,,Mike Braun,68,3/24/1954,R
Senate,SD,,Mike Rounds,68,10/24/1954,R
Senate,WY,,Cynthia Lummis,68,9/10/1954,R
Senate,SC,,Lindsey Graham,67,7/9/1955,R
Senate,WI,,Ron Johnson,67,4/8/1955,R
Senate,RI,,Sheldon Whitehouse,67,10/20/1955,D
Senate,OR,,Jeff Merkley,66,10/24/1956,D
Senate,MT,,Jon Tester,66,8/21/1956,D
Senate,AK,,Lisa Murkowski,65,5/22/1957,R
Senate,LA,,Bill Cassidy,65,9/28/1957,R
Senate,ND,,John Hoeven,65,3/13/1957,R
Senate,NV,,Jacky Rosen,65,8/2/1957,D
Senate,MN,,Tina Smith,64,3/4/1958,D
Senate,VA,,Tim Kaine,64,2/26/1958,D
Senate,WA,,Maria Cantwell,64,10/13/1958,D
Senate,MI,,Gary Peters,64,12/1/1958,D
Senate,NH,,Maggie Hassan,64,2/27/1958,D
Senate,MD,,Chris Van Hollen,63,1/10/1959,D
Senate,MS,,Cindy Hyde-Smith,63,5/10/1959,R
Senate,TN,,Bill Hagerty,63,8/14/1959,R
Senate,NC,,Thom Tillis,62,8/30/1960,R
Senate,MN,,Amy Klobuchar,62,5/25/1960,D
Senate,KS,,Roger Marshall,62,8/9/1960,R
Senate,PA,,Bob Casey,62,4/13/1960,D
Senate,ND,,Kevin Cramer,61,1/21/1961,R
Senate,SD,,John Thune,61,1/7/1961,R
Senate,MT,,Steve Daines,60,8/20/1962,R
Senate,WI,,Tammy Baldwin,60,2/11/1962,D
Senate,DE,,Chris Coons,59,9/9/1963,D
Senate,KY,,Rand Paul,59,1/7/1963,R
Senate,AK,,Dan Sullivan,58,11/13/1964,R
Senate,CO,,Michael Bennet,58,11/28/1964,D
Senate,NV,,Catherine Cortez Masto,58,3/29/1964,D
Senate,AZ,,Mark Kelly,58,2/21/1964,D
Senate,SC,,Tim Scott,57,9/19/1965,R
Senate,NY,,Kirsten Gillibrand,56,12/9/1966,D
Senate,IL,,Tammy Duckworth,54,3/12/1968,D
Senate,OK,,James Lankford,54,3/4/1968,R
Senate,NJ,,Cory Booker,53,4/27/1969,D
Senate,PA,,John Fetterman,53,8/15/1969,D
Senate,GA,,Raphael Warnock,53,7/23/1969,D
Senate,TX,,Ted Cruz,52,12/22/1970,R
Senate,IA,,Joni Ernst,52,7/1/1970,R
Senate,UT,,Mike Lee,51,6/4/1971,R
Senate,NM,,Martin Heinrich,51,10/17/1971,D
Senate,NC,,Ted Budd,51,10/21/1971,R
Senate,FL,,Marco Rubio,51,5/28/1971,R
Senate,NM,,Ben Ray Lujan,50,6/7/1972,D
Senate,HI,,Brian Schatz,50,10/20/1972,D
Senate,IN,,Todd Young,50,8/24/1972,R
Senate,NE,,Ben Sasse,50,2/22/1972,R
Senate,CA,,Alex Padilla,49,3/22/1973,D
Senate,CT,,Christopher S. Murphy,49,8/3/1973,D
Senate,MO,,Eric Schmitt,47,6/20/1975,R
Senate,AZ,,Kyrsten Sinema,46,7/12/1976,I
Senate,AR,,Tom Cotton,45,5/13/1977,R
Senate,OK,,Markwayne Mullin,45,7/26/1977,R
Senate,MO,,Josh Hawley,43,12/31/1979,R
Senate,AL,,Katie Britt,40,2/2/1982,R
Senate,OH,,J.D. Vance,38,8/2/1984,R
Senate,GA,,Jon Ossoff,35,2/16/1987,D
