Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,ID
Bryan Reynolds#,27,PIT,NL,145,614,542,74,142,19,4,27,62,7,3,56,141,0.262,0.345,0.461,0.807,reynobr01
Matt Reynolds,31,TOT,NL,93,272,244,31,60,10,1,3,23,5,0,26,78,0.246,0.32,0.332,0.652,reynoma03
Matt Reynolds,31,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,reynoma03
Matt Reynolds,31,CIN,NL,92,272,244,31,60,10,1,3,23,5,0,26,78,0.246,0.32,0.332,0.652,reynoma03
JT Riddle*,30,CIN,NL,2,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,riddljt01
Austin Riley,25,ATL,NL,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,rileyau01
Edwin Rios*,28,LAD,NL,27,92,86,12,21,1,0,7,17,0,1,5,36,0.244,0.293,0.5,0.793,riosed01
Alfonso Rivas*,25,CHC,NL,101,287,251,27,59,5,2,3,25,6,1,29,87,0.235,0.322,0.307,0.628,rivasal01
Emmanuel Rivera,26,TOT,MLB,102,359,330,46,77,16,3,12,40,1,2,23,83,0.233,0.292,0.409,0.702,riverem01
Emmanuel Rivera,26,KCR,AL,63,211,198,24,47,8,3,6,22,0,0,11,46,0.237,0.284,0.399,0.683,riverem01
Emmanuel Rivera,26,ARI,NL,39,148,132,22,30,8,0,6,18,1,2,12,37,0.227,0.304,0.424,0.728,riverem01
Sebastian Rivero,23,KCR,AL,17,29,26,2,4,0,0,0,1,0,0,2,10,0.154,0.214,0.154,0.368,riverse01
Anthony Rizzo*,32,NYY,AL,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,rizzoan01
Luis Robert,24,CHW,AL,98,401,380,54,108,18,0,12,56,11,3,17,77,0.284,0.319,0.426,0.746,roberlu01
David Robertson,37,TOT,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,roberda08
David Robertson,37,CHC,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,roberda08
Kramer Robertson,27,STL,NL,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,roberkr01
Chuckie Robinson,27,CIN,NL,25,60,59,3,8,2,0,2,5,0,0,0,17,0.136,0.136,0.271,0.407,robinch04
Victor Robles,25,WSN,NL,132,407,366,42,82,10,2,6,33,15,4,17,104,0.224,0.273,0.311,0.584,roblevi01
Brendan Rodgers,25,COL,NL,137,581,527,72,140,30,3,13,63,0,0,46,101,0.266,0.325,0.408,0.733,rodgebr02
Joely Rodriguez*,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,rodrijo06
Julio Rodriguez,21,SEA,AL,132,560,511,84,145,25,3,28,75,25,7,40,145,0.284,0.345,0.509,0.853,rodriju01
Taylor Rogers*,31,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,rogerta01
Taylor Rogers*,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,rogerta01
Jose Rojas*,29,LAA,AL,22,57,56,1,7,2,0,0,1,0,0,0,19,0.125,0.14,0.161,0.301,rojasjo02
Josh Rojas*,28,ARI,NL,125,510,443,66,119,25,1,9,56,23,3,55,98,0.269,0.349,0.391,0.739,rojasjo01
Miguel Rojas,33,MIA,NL,140,507,471,34,111,19,2,6,36,9,3,26,61,0.236,0.283,0.323,0.605,rojasmi02
JoJo Romero*,25,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,romerjo01
JoJo Romero*,25,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,romerjo01
Austin Romine,33,TOT,MLB,51,136,129,10,20,3,0,3,9,0,0,4,46,0.155,0.187,0.248,0.435,rominau01
Austin Romine,33,TOT,NL,48,127,121,10,18,3,0,3,9,0,0,4,43,0.149,0.183,0.248,0.43,rominau01
Austin Romine,33,LAA,AL,3,9,8,0,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,rominau01
Austin Romine,33,STL,NL,11,28,26,2,4,1,0,0,0,0,0,2,7,0.154,0.214,0.192,0.407,rominau01
Austin Romine,33,CIN,NL,37,99,95,8,14,2,0,3,9,0,0,2,36,0.147,0.173,0.263,0.437,rominau01
Brent Rooker,27,TOT,MLB,16,36,32,1,4,1,0,0,2,0,0,3,11,0.125,0.222,0.156,0.378,rookebr01
Brent Rooker,27,SDP,NL,2,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rookebr01
Brent Rooker,27,KCR,AL,14,29,25,1,4,1,0,0,2,0,0,3,7,0.16,0.276,0.2,0.476,rookebr01
Amed Rosario,26,CLE,AL,153,670,637,86,180,26,9,11,71,18,4,25,111,0.283,0.312,0.403,0.715,rosaram01
Eddie Rosario*,30,ATL,NL,80,270,250,27,53,12,1,5,24,3,0,17,68,0.212,0.259,0.328,0.587,rosared01
Eguy Rosario,22,SDP,NL,7,6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,rosareg01
Darin Ruf,35,TOT,NL,118,388,334,52,68,12,0,11,45,2,0,45,105,0.204,0.307,0.338,0.645,rufda01
Darin Ruf,35,SFG,NL,90,314,268,46,58,9,0,11,38,2,0,40,85,0.216,0.328,0.373,0.701,rufda01
Darin Ruf,35,NYM,NL,28,74,66,6,10,3,0,0,7,0,0,5,20,0.152,0.216,0.197,0.413,rufda01
Esteury Ruiz,23,TOT,NL,17,36,35,3,6,1,1,0,2,1,2,1,7,0.171,0.194,0.257,0.452,ruizes01
Esteury Ruiz,23,SDP,NL,14,27,27,1,6,1,1,0,2,1,2,0,5,0.222,0.222,0.333,0.556,ruizes01
Esteury Ruiz,23,MIL,NL,3,9,8,2,0,0,0,0,0,0,0,1,2,0,0.111,0,0.111,ruizes01
Keibert Ruiz#,23,WSN,NL,112,433,394,33,99,22,0,7,36,6,1,30,50,0.251,0.313,0.36,0.673,ruizke01
Adley Rutschman#,24,BAL,AL,113,470,398,70,101,35,1,13,42,4,0,65,86,0.254,0.362,0.445,0.806,rutscad01
Gary Sanchez,29,MIN,AL,128,471,419,42,86,24,0,16,61,2,0,40,136,0.205,0.282,0.377,0.659,sanchga02
Jesus Sanchez*,24,MIA,NL,98,343,313,38,67,14,3,13,36,1,0,26,92,0.214,0.28,0.403,0.682,sanchje02
Yolmer Sanchez#,30,TOT,MLB,17,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,sanchca01
Yolmer Sanchez#,30,BOS,AL,14,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,sanchca01
Yolmer Sanchez#,30,NYM,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,sanchca01
Donny Sands,26,PHI,NL,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,sandsdo01
Reiver Sanmartin*,26,CIN,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sanmare01
Miguel Sano,29,MIN,AL,20,71,60,1,5,0,0,1,3,1,0,9,25,0.083,0.211,0.133,0.345,sanomi01
Carlos Santana#,36,TOT,AL,131,506,431,52,87,18,0,19,60,0,0,71,88,0.202,0.316,0.376,0.692,santaca01
Carlos Santana#,36,KCR,AL,52,212,176,17,38,10,0,4,21,0,0,36,28,0.216,0.349,0.341,0.69,santaca01
Carlos Santana#,36,SEA,AL,79,294,255,35,49,8,0,15,39,0,0,35,60,0.192,0.293,0.4,0.693,santaca01
Anthony Santander#,27,BAL,AL,152,647,574,78,138,24,0,33,89,0,2,55,122,0.24,0.318,0.455,0.773,santaan02
Clarke Schmidt,26,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,schmicl01
Jonathan Schoop,30,DET,AL,131,510,481,48,97,23,1,11,38,5,0,19,107,0.202,0.239,0.322,0.561,schoojo01
Max Schrock*,27,CIN,NL,13,27,26,1,4,0,0,0,1,0,0,1,6,0.154,0.185,0.154,0.339,schroma01
Kyle Schwarber*,29,PHI,NL,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,schwaky01
Frank Schwindel,30,CHC,NL,75,292,271,23,62,11,0,8,36,0,0,19,58,0.229,0.277,0.358,0.635,schwifr01
Tanner Scott,27,MIA,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,scottta01
Corey Seager*,28,TEX,AL,151,663,593,91,145,24,1,33,83,3,0,58,103,0.245,0.317,0.455,0.772,seageco01
Jean Segura,32,PHI,NL,98,387,354,45,98,9,0,10,33,13,6,25,58,0.277,0.336,0.387,0.723,segurje01
Marcus Semien,31,TEX,AL,161,724,657,101,163,31,5,26,83,25,8,53,120,0.248,0.304,0.429,0.733,semiema01
Nick Senzel,27,CIN,NL,110,420,373,45,86,13,0,5,25,8,5,30,76,0.231,0.296,0.306,0.601,senzeni01
Brian Serven,27,COL,NL,62,205,187,19,38,4,1,6,16,0,0,13,44,0.203,0.261,0.332,0.593,servebr01
Anderson Severino*,27,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,severan01
Pedro Severino,28,MIL,NL,8,21,18,0,4,2,0,0,1,0,0,3,7,0.222,0.333,0.333,0.667,severpe01
Paul Sewald,32,SEA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,sewalpa01
Bryan Shaw#,34,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,shawbr01
Travis Shaw*,32,BOS,AL,7,19,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,shawtr01
Gavin Sheets*,26,CHW,AL,124,410,377,34,91,19,0,15,53,0,0,27,86,0.241,0.295,0.411,0.706,sheetga01
Zack Short,27,DET,AL,6,13,9,2,0,0,0,0,2,1,0,2,5,0,0.154,0,0.154,shortza01
Chasen Shreve*,31,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,shrevch01
Mike Siani*,22,CIN,NL,9,24,24,1,4,0,0,0,0,0,1,0,7,0.167,0.167,0.167,0.333,sianimi01
Magneuris Sierra*,26,LAA,AL,45,96,91,7,15,1,3,0,5,6,1,4,25,0.165,0.2,0.242,0.442,sierrma01
Andrelton Simmons,32,CHC,NL,34,85,75,8,13,1,0,0,7,4,0,7,13,0.173,0.244,0.187,0.431,simmoan01
Jose Siri,26,TOT,AL,104,325,301,53,64,13,2,7,24,14,2,20,108,0.213,0.268,0.339,0.607,sirijo01
Jose Siri,26,HOU,AL,48,147,135,18,24,4,2,3,10,6,1,9,48,0.178,0.238,0.304,0.542,sirijo01
Jose Siri,26,TBR,AL,56,178,166,35,40,9,0,4,14,8,1,11,60,0.241,0.292,0.367,0.66,sirijo01
Austin Slater,29,SFG,NL,125,325,277,49,73,15,2,7,34,12,1,40,89,0.264,0.366,0.408,0.774,slateau01
Dominic Smith*,27,NYM,NL,58,152,134,11,26,10,1,0,17,0,0,12,37,0.194,0.276,0.284,0.56,smithdo02
Josh Smith*,24,TEX,AL,73,253,213,23,42,5,0,2,16,4,3,28,50,0.197,0.307,0.249,0.556,smithjo11
Kevin Smith,25,OAK,AL,47,151,139,9,25,9,1,2,13,4,0,7,42,0.18,0.216,0.302,0.518,smithke05
Pavin Smith*,26,ARI,NL,75,277,245,24,54,9,0,9,33,1,0,28,67,0.22,0.3,0.367,0.667,smithpa04
Will Smith,27,LAD,NL,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,smithwi05
Canaan Smith-Njigba*,23,PIT,NL,3,7,5,1,1,1,0,0,0,0,0,1,0,0.2,0.429,0.4,0.829,smithca05
Collin Snider,26,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,snideco01
Nick Solak,27,TEX,AL,35,95,82,14,17,1,0,3,4,3,2,7,19,0.207,0.309,0.329,0.638,solakni01
Donovan Solano,34,CIN,NL,80,304,278,22,79,16,0,4,24,0,0,19,61,0.284,0.339,0.385,0.724,solando01
Jorge Soler,30,MIA,NL,72,306,270,32,56,13,0,13,34,0,2,31,90,0.207,0.295,0.4,0.695,solerjo01
Edmundo Sosa,26,TOT,NL,78,190,176,26,40,11,4,2,21,6,1,5,50,0.227,0.275,0.369,0.644,sosaed01
Edmundo Sosa,26,STL,NL,53,131,122,17,23,4,3,0,8,3,1,4,38,0.189,0.244,0.27,0.515,sosaed01
Edmundo Sosa,26,PHI,NL,25,59,54,9,17,7,1,2,13,3,0,1,12,0.315,0.345,0.593,0.937,sosaed01
Lenyn Sosa,22,CHW,AL,11,36,35,3,4,1,0,1,1,0,0,1,12,0.114,0.139,0.229,0.367,sosale01
Juan Soto*,23,TOT,NL,153,664,524,93,127,25,2,27,62,6,2,135,96,0.242,0.401,0.452,0.853,sotoju01
Juan Soto*,23,WSN,NL,101,436,342,62,84,17,1,21,46,6,2,91,62,0.246,0.408,0.485,0.894,sotoju01
Juan Soto*,23,SDP,NL,52,228,182,31,43,8,1,6,16,0,0,44,34,0.236,0.388,0.39,0.778,sotoju01
Livan Soto*,22,LAA,AL,18,59,55,9,22,5,1,1,9,1,1,2,13,0.4,0.414,0.582,0.996,sotoli01
Steven Souza Jr.,33,SEA,AL,6,19,19,0,3,0,0,0,1,0,0,0,8,0.158,0.158,0.158,0.316,souzast01
Cory Spangenberg*,31,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,spangco01
George Springer,32,TOR,AL,133,583,513,89,137,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,springe01
Jacob Stallings,32,MIA,NL,114,384,346,25,77,12,0,4,34,0,1,29,83,0.223,0.292,0.292,0.584,stallja01
Giancarlo Stanton,32,NYY,AL,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,stantmi03
Max Stassi,31,LAA,AL,102,375,333,32,60,12,1,9,30,0,0,38,112,0.18,0.267,0.303,0.571,stassma01
Josh Staumont,28,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,staumjo01
Drew Steckenrider,31,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,steckdr01
Spencer Steer,24,CIN,NL,28,108,95,12,20,5,0,2,8,0,1,11,26,0.211,0.306,0.326,0.632,steersp01
Michael Stefanic,26,LAA,AL,25,69,61,5,12,2,0,0,0,0,0,5,12,0.197,0.279,0.23,0.509,stefami01
Jackson Stephens,28,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,stephja01
Tyler Stephenson,25,CIN,NL,50,183,166,24,53,9,0,6,35,1,0,12,47,0.319,0.372,0.482,0.854,stephty01
Cal Stevenson*,25,OAK,AL,23,71,60,5,10,3,0,0,1,1,1,8,23,0.167,0.261,0.217,0.478,steveca01
DJ Stewart*,28,BAL,AL,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,stewadj01
Trevor Story,29,BOS,AL,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,storytr01
Bryson Stott*,24,PHI,NL,127,466,427,58,100,19,2,10,49,12,4,36,89,0.234,0.295,0.358,0.653,stottbr01
Kyle Stowers*,24,BAL,AL,34,98,91,11,23,4,1,3,11,0,0,5,29,0.253,0.306,0.418,0.724,stoweky01
Dee Strange-Gordon*,34,WSN,NL,22,59,59,6,18,1,1,0,2,3,2,0,8,0.305,0.305,0.356,0.661,gordode01
Myles Straw,27,CLE,AL,152,596,535,72,118,22,3,0,32,21,1,54,87,0.221,0.291,0.273,0.564,strawmy01
Hunter Strickland,33,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,strichu01
Garrett Stubbs*,29,PHI,NL,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,stubbga01
Eugenio Suarez,30,SEA,AL,150,629,543,76,128,24,2,31,87,0,0,73,196,0.236,0.332,0.459,0.791,suareeu01
Cole Sulser,32,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,sulseco01
Jack Suwinski*,23,PIT,NL,106,372,326,45,66,11,0,19,38,4,2,41,114,0.202,0.298,0.411,0.709,suwinja01
Kurt Suzuki,38,LAA,AL,51,159,139,10,25,4,0,4,15,0,0,15,29,0.18,0.266,0.295,0.561,suzukku01
Seiya Suzuki,27,CHC,NL,111,446,397,54,104,22,2,14,46,9,5,42,110,0.262,0.336,0.433,0.77,suzukse01
Travis Swaggerty*,24,PIT,NL,5,9,9,0,1,0,0,0,0,0,0,0,4,0.111,0.111,0.111,0.222,swaggtr01
Dansby Swanson,28,ATL,NL,162,696,640,99,177,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,swansda01
Raimel Tapia*,28,TOR,AL,128,433,411,47,109,20,3,7,52,8,2,16,81,0.265,0.292,0.38,0.672,tapiara01
Dillon Tate,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,tatedi01
Leody Taveras#,23,TEX,AL,99,341,314,39,82,14,2,5,34,11,5,21,88,0.261,0.309,0.366,0.675,taverle01
Chris Taylor,31,LAD,NL,118,454,402,45,89,25,3,10,43,10,1,44,160,0.221,0.304,0.373,0.677,tayloch03
Michael A. Taylor,31,KCR,AL,124,456,414,49,105,10,3,9,43,4,2,35,109,0.254,0.313,0.357,0.67,taylomi02
Tyrone Taylor,28,MIL,NL,120,405,373,49,87,21,3,17,51,3,2,22,102,0.233,0.286,0.442,0.729,tayloty01
Rowdy Tellez*,27,MIL,NL,153,599,529,67,116,23,0,35,89,2,1,62,121,0.219,0.306,0.461,0.767,tellero01
Matt Thaiss*,27,LAA,AL,29,81,69,9,15,1,0,2,8,1,0,11,24,0.217,0.321,0.319,0.64,thaisma01
Caleb Thielbar,35,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,thielca01
Alek Thomas*,22,ARI,NL,113,411,381,45,88,17,1,8,39,4,3,22,74,0.231,0.275,0.344,0.619,thomaal01
Cody Thomas*,27,OAK,AL,10,32,30,1,8,0,0,0,0,0,0,2,12,0.267,0.313,0.267,0.579,thomaco01
Dillon Thomas*,29,LAA,AL,8,14,11,1,1,0,0,0,0,0,0,2,6,0.091,0.286,0.091,0.377,thomadi01
Lane Thomas,26,WSN,NL,146,548,498,62,120,26,2,17,52,8,4,41,132,0.241,0.301,0.404,0.705,thomala02
Bubba Thompson,24,TEX,AL,55,181,170,18,45,5,0,1,9,18,3,7,56,0.265,0.302,0.312,0.613,thompbu01
Trayce Thompson,31,TOT,NL,80,255,219,36,56,14,1,13,41,4,1,32,93,0.256,0.353,0.507,0.86,thomptr01
Trayce Thompson,31,SDP,NL,6,16,14,1,1,0,0,0,2,0,1,2,7,0.071,0.188,0.071,0.259,thomptr01
Trayce Thompson,31,LAD,NL,74,239,205,35,55,14,1,13,39,4,0,30,86,0.268,0.364,0.537,0.901,thomptr01
Michael Toglia#,23,COL,NL,31,120,111,10,24,8,2,2,12,1,1,9,44,0.216,0.275,0.378,0.653,toglimi01
Ka'ai Tom*,28,SFG,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tomka01
Spencer Torkelson,22,DET,AL,110,404,360,38,73,16,1,8,28,0,1,37,99,0.203,0.285,0.319,0.604,torkesp01
Abraham Toro#,25,SEA,AL,109,352,324,36,60,13,1,10,35,2,0,22,65,0.185,0.239,0.324,0.563,toroab01
Luis Torrens,26,SEA,AL,55,166,151,13,34,2,0,3,15,0,0,12,50,0.225,0.283,0.298,0.581,torrelu01
Gleyber Torres,25,NYY,AL,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,torregl01
Ezequiel Tovar,20,COL,NL,9,35,33,2,7,1,0,1,2,0,0,2,9,0.212,0.257,0.333,0.59,tovarez01
Taylor Trammell*,24,SEA,AL,43,117,102,15,20,9,0,4,10,2,1,13,33,0.196,0.284,0.402,0.686,trammta01
Alan Trejo,26,COL,NL,35,125,118,15,32,6,0,4,17,1,2,5,31,0.271,0.312,0.424,0.736,trejoal01
Jose Trevino,29,NYY,AL,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,trevijo01
Chadwick Tromp,27,ATL,NL,1,4,4,0,3,2,0,0,3,0,0,0,0,0.75,0.75,1.25,2,trompch01
Mike Trout,30,LAA,AL,119,499,438,85,124,28,2,40,80,1,0,54,139,0.283,0.369,0.63,0.999,troutmi01
Yoshi Tsutsugo*,30,PIT,NL,50,193,170,11,29,4,0,2,19,0,0,19,50,0.171,0.249,0.229,0.478,tsutsyo01
Cole Tucker#,25,PIT,NL,18,63,63,3,11,1,1,0,2,1,0,0,25,0.175,0.175,0.222,0.397,tuckeco01
Kyle Tucker*,25,HOU,AL,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,tuckeky01
Justin Turner,37,LAD,NL,128,532,468,61,130,36,0,13,81,3,0,50,89,0.278,0.35,0.438,0.788,turneju01
Trea Turner,29,LAD,NL,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,turnetr01
Justin Upton,34,SEA,AL,17,57,48,2,6,1,0,1,3,0,0,6,23,0.125,0.263,0.208,0.471,uptonju01
Luis Urias,25,MIL,NL,119,472,406,54,97,17,1,16,47,1,2,50,99,0.239,0.335,0.404,0.739,uriaslu01
Ramon Urias,28,BAL,AL,118,445,403,50,100,17,1,16,51,1,0,30,98,0.248,0.305,0.414,0.72,uriasra01
Gio Urshela,30,MIN,AL,144,551,501,61,143,27,3,13,64,1,0,41,96,0.285,0.338,0.429,0.767,urshegi01
Josh VanMeter*,27,PIT,NL,67,192,171,15,32,5,2,3,14,4,0,19,45,0.187,0.266,0.292,0.558,vanmejo01
Ildemaro Vargas#,30,TOT,NL,63,222,209,19,55,13,1,4,23,3,1,8,23,0.263,0.299,0.392,0.691,vargail01
Ildemaro Vargas#,30,CHC,NL,10,26,23,4,3,0,1,1,4,0,0,3,2,0.13,0.231,0.348,0.579,vargail01
Ildemaro Vargas#,30,WSN,NL,53,196,186,15,52,13,0,3,19,3,1,5,21,0.28,0.308,0.398,0.706,vargail01
Miguel Vargas,22,LAD,NL,18,50,47,4,8,1,0,1,8,1,0,2,13,0.17,0.2,0.255,0.455,vargami01
Daulton Varsho*,25,ARI,NL,151,592,531,79,125,23,3,27,74,16,6,46,145,0.235,0.302,0.443,0.745,varshda01
Andrew Vaughn,24,CHW,AL,134,555,510,60,138,28,1,17,76,0,0,31,96,0.271,0.321,0.429,0.75,vaughan01
Terrin Vavra*,25,BAL,AL,40,103,89,14,23,2,1,1,12,0,1,12,19,0.258,0.34,0.337,0.677,vavrate01
Christian Vazquez,31,TOT,AL,119,426,398,41,109,23,0,9,52,1,4,22,69,0.274,0.315,0.399,0.714,vazquch01
Christian Vazquez,31,BOS,AL,84,318,294,33,83,20,0,8,42,1,2,18,51,0.282,0.327,0.432,0.759,vazquch01
Christian Vazquez,31,HOU,AL,35,108,104,8,26,3,0,1,10,0,2,4,18,0.25,0.278,0.308,0.585,vazquch01
Andrew Velazquez#,27,LAA,AL,125,349,322,37,63,8,0,9,28,17,1,15,119,0.196,0.236,0.304,0.54,velazan01
Nelson Velázquez,23,CHC,NL,77,206,185,20,38,7,3,6,26,5,2,19,65,0.205,0.286,0.373,0.659,velazne01
Alex Verdugo*,26,BOS,AL,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,verdual01
Mark Vientos,22,NYM,NL,16,41,36,3,6,1,0,1,3,0,0,5,12,0.167,0.268,0.278,0.546,vientma01
Matt Vierling,25,PHI,NL,117,357,325,41,80,12,2,6,32,7,4,23,70,0.246,0.297,0.351,0.648,vierlma01
David Villar,25,SFG,NL,52,181,156,21,36,6,1,9,24,0,1,18,58,0.231,0.331,0.455,0.787,villada01
Jonathan Villar#,31,TOT,MLB,59,220,202,25,42,6,2,3,18,7,0,15,59,0.208,0.26,0.302,0.562,villajo01
Jonathan Villar#,31,CHC,NL,46,166,153,19,34,6,2,2,15,6,0,11,42,0.222,0.271,0.327,0.598,villajo01
Jonathan Villar#,31,LAA,AL,13,54,49,6,8,0,0,1,3,1,0,4,17,0.163,0.226,0.224,0.451,villajo01
Meibrys Viloria*,25,TEX,AL,26,75,63,10,10,1,0,2,5,0,0,11,29,0.159,0.28,0.27,0.55,vilorme01
Daniel Vogelbach*,29,TOT,NL,130,461,386,47,92,19,1,18,59,0,0,73,114,0.238,0.36,0.433,0.793,vogelda01
Daniel Vogelbach*,29,PIT,NL,75,278,237,29,54,10,1,12,34,0,0,40,67,0.228,0.338,0.43,0.769,vogelda01
Daniel Vogelbach*,29,NYM,NL,55,183,149,18,38,9,0,6,25,0,0,33,47,0.255,0.393,0.436,0.83,vogelda01
Stephen Vogt*,37,OAK,AL,70,191,168,18,27,4,1,7,23,1,0,17,46,0.161,0.241,0.321,0.562,vogtst01
Luke Voit,31,TOT,NL,135,568,500,55,113,22,0,22,69,1,1,55,179,0.226,0.308,0.402,0.71,voitlu01
Luke Voit,31,SDP,NL,82,344,298,38,67,18,0,13,48,1,1,39,110,0.225,0.317,0.416,0.733,voitlu01
Luke Voit,31,WSN,NL,53,224,202,17,46,4,0,9,21,0,0,16,69,0.228,0.295,0.381,0.676,voitlu01
Jason Vosler*,28,SFG,NL,36,111,98,14,26,6,1,4,12,1,1,10,29,0.265,0.342,0.469,0.812,vosleja01
Joey Votto*,38,CIN,NL,91,376,322,31,66,18,1,11,41,0,0,44,97,0.205,0.319,0.37,0.689,vottojo01
LaMonte Wade Jr.*,28,SFG,NL,77,251,217,29,45,7,1,8,26,1,0,26,51,0.207,0.305,0.359,0.665,wadela01
Tyler Wade*,27,LAA,AL,67,163,147,22,32,5,0,1,8,8,5,10,33,0.218,0.272,0.272,0.544,wadety01
Christian Walker,31,ARI,NL,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,walkech02
Steele Walker*,25,TEX,AL,5,16,14,1,1,0,0,1,1,0,0,2,4,0.071,0.188,0.286,0.473,walkest01
Chad Wallach,30,LAA,AL,12,40,35,3,5,1,0,1,4,0,0,4,9,0.143,0.231,0.257,0.488,wallach01
Matt Wallner*,24,MIN,AL,18,65,57,4,13,3,0,2,10,1,0,6,25,0.228,0.323,0.386,0.709,wallnma01
Taylor Walls#,25,TBR,AL,142,466,407,53,70,18,2,8,33,10,3,52,120,0.172,0.268,0.285,0.553,wallsta01
Jared Walsh*,28,LAA,AL,118,454,423,41,91,18,2,15,44,2,1,27,138,0.215,0.269,0.374,0.642,walshja01
Donovan Walton*,28,TOT,MLB,25,78,76,9,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,waltodo01
Donovan Walton*,28,SEA,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,waltodo01
Donovan Walton*,28,SFG,NL,24,78,76,8,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,waltodo01
Taylor Ward,28,LAA,AL,135,564,495,73,139,22,2,23,65,5,3,60,120,0.281,0.36,0.473,0.833,wardta01
Drew Waters#,23,KCR,AL,32,109,96,14,23,6,1,5,18,0,0,12,40,0.24,0.324,0.479,0.803,waterdr01
Luke Weaver,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,weavelu01
Luke Weaver,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,weavelu01
J.B. Wendelken,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,wendejb01
Joey Wendle*,32,MIA,NL,101,371,347,27,90,24,1,3,32,12,3,15,50,0.259,0.297,0.36,0.658,wendljo01
